gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160255	60159.077848656074	3.133249192962654	0.1465624766962609	21.3782494918946	2.1296915220760202e-101	4.876993585554086e-99
ENSG00000156265	31991.526783003894	3.002126572567024	0.1467255880323128	20.460824951036333	4.8117306396215544e-93	5.50943158236668e-91
ENSG00000180509	35048.20519477576	3.233685595596983	0.17105038731982045	18.904871519237304	1.0399254726680334e-79	7.938097774699322e-78
ENSG00000142192	47701.86681515592	3.0922917543987185	0.18232647505533003	16.960190523402105	1.6181890900773777e-64	9.264132540692987e-63
ENSG00000183527	7913.682367601999	2.8348556902677426	0.16948025433615374	16.726760892422188	8.366635672663534e-63	3.8319191380798984e-61
ENSG00000159128	10520.209630312458	2.4963882553931374	0.15428309049993882	16.18056941498801	6.915193763205307e-59	2.639298952956692e-57
ENSG00000142168	6495.129810333869	2.985708357401278	0.22371758480564102	13.345881415603383	1.2518111668277158e-40	4.095210817193527e-39
ENSG00000160307	4690.099256720462	3.3587272321674555	0.2854486568146567	11.766484626859866	5.809528223007129e-32	1.6629774538357906e-30
ENSG00000159197	1665.5938369136638	2.2394891855333663	0.2039349979388445	10.981387246758588	4.696555254386679e-28	1.1950123925050549e-26
ENSG00000160284	7006.4073127502	3.450299483888955	0.5545270050590997	6.222058533508631	4.906738972308255e-10	1.1236432246585903e-8
ENSG00000183421	2747.1981571281867	-0.6357810851503585	0.18049521448393868	-3.522426270237393	4.2761596722227016e-4	0.008902186953990896
ENSG00000166265	1156.2495204425015	-0.6738235833957501	0.20972470462315826	-3.2128956128773827	0.0013140403906053766	0.025076270787385935
ENSG00000156256	5806.332790990283	-0.4447507090776208	0.1476362696981999	-3.0124759314685092	0.002591259836585298	0.04564603865984871
